TIPO,SUSA,SUSB,SUSC
2,-0.77,0.091,-1.028
1,0.223,-0.167,-0.552
1,0.981,1.489,0.88
2,0.298,0.388,0.88
1,-0.051,-0.177,-0.552
1,-0.036,-0.445,-0.552
2,1.167,1.489,-0.076
2,0.327,0.656,-0.552
1,0.014,-0.152,-0.204
1,0.773,0.379,-0.552
1,-0.646,0.934,-0.601
1,-0.85,-1.556,-0.076
1,1.172,0.979,0.88
1,1.528,1.489,0.88
1,-0.463,-0.445,-0.552
1,1.301,1.221,-0.076
1,-0.146,-1.01,0.88
1,0.436,-0.445,0.88
1,0.436,0.656,0.88
2,0.231,-0.177,0.88
2,-0.506,-0.733,-0.552
1,0.586,-0.177,-0.552
1,0.167,0.953,-1.984
2,0.436,0.656,-0.552
1,0.058,-0.177,-0.076
2,0.749,1.489,0.88
2,-2.135,-1.556,-0.552
1,0.436,-0.177,-0.552
2,0.436,0.656,-0.552
1,-1.078,-1.01,-0.552
2,-0.641,-0.177,0.88
1,0.303,-0.445,-1.077
2,-0.641,-0.713,0.88
1,-0.162,-0.177,-0.098
1,0.586,-0.177,0.88
1,-0.719,-1.288,0.88
1,-0.657,-1.01,-0.552
1,-1.448,0.656,0.88
1,-0.657,-1.01,0.88
1,-1.79,-1.01,-1.984
2,-1.221,-0.733,-1.984
1,0.231,-0.177,0.88
2,1.528,-0.177,0.88
2,-0.842,-1.01,0.88
1,0.826,1.489,0.88
2,-0.022,0.685,-1.961
2,-1.312,-0.723,0.88
1,-0.192,-0.094,0.88
2,-2.3,-3.242,0.88
1,-0.356,-0.177,0.88
1,1.274,1.489,0.88
2,0.744,0.934,-0.552
1,0.586,-1.01,0.88
2,-0.641,-0.713,0.88
1,0.436,-0.177,-0.552
2,1.403,1.489,0.88
2,0.436,0.656,-0.552
1,-0.506,-1.01,0.88
1,0.175,1.489,-0.601
2,0.436,-0.445,-0.552
1,-1.217,0.378,0.427
1,-1.507,-1.01,-0.098
2,-0.555,0.656,0.404
1,-1.143,-1.844,0.88
1,-1.335,-0.177,-1.984
1,-0.592,0.656,0.88
2,0.711,0.388,-0.552
2,0.586,-0.177,0.88
1,-0.051,-0.733,-0.098
2,-1.755,-0.445,0.88
1,0.065,-0.723,-1.005
2,-0.766,0.388,-0.552
1,-1.096,-1.01,0.88
2,-0.067,0.369,0.88
1,0.132,-0.733,0.378
2,-0.993,-1.01,-0.098
2,-1.479,-1.844,-0.552
2,0.209,0.656,-0.552
1,-1.505,-1.844,0.88
2,0.314,-0.177,0.88
2,1.378,0.924,0.378
1,0.436,-0.177,-0.098
2,-0.029,-0.177,-0.098
2,-0.334,-0.733,-0.076
2,-0.154,-0.177,-0.098
1,-1.143,-1.844,-1.53
1,-1.143,-1.844,-0.552
1,-0.356,0.656,0.88
2,0.436,0.656,-0.552
2,0.579,-0.445,-1.005
2,0.456,-0.177,0.88
1,-0.993,-1.01,-0.552
2,-1.015,-1.01,-0.552
2,0.357,1.489,0.88
1,0.436,-0.177,0.88
2,-0.225,0.11,-0.552
2,-1.355,-0.167,-1.984
1,1.528,0.656,-0.552
1,-1.143,-1.844,-0.552
2,0.888,0.378,0.404
2,-0.632,-1.01,-0.552
1,-1.378,-1.566,-1.005
1,-1.886,-1.01,-0.098
2,-2.484,-2.677,-1.984
2,0.087,0.101,0.88
2,0.194,0.461,0
2,0.586,1.489,0.88
2,0.436,0.656,0.88
2,0.436,0.924,0.88
2,1.528,1.489,0.88
2,0.436,0.369,0.88
2,0.334,-0.177,0.88
1,1.528,0.388,0.88
2,0.436,-0.177,-0.552
1,0.234,-0.723,-1.53
1,0.234,-0.723,-1.53
1,0.31,-1.01,-0.552
1,0.181,0.091,-0.098
2,0.336,-0.177,0.88
1,0.051,-0.733,-0.098
1,-0.565,-0.445,-0.552
2,-0.575,-0.445,0.88
2,-0.075,-1.01,0.88
1,0.31,-0.177,0.404
1,-0.176,-1.01,-1.53
2,0.185,-1.01,-1.53
1,-0.657,-0.177,-0.552
2,-3.118,-1.278,-0.552
1,-0.028,-0.177,0.88
1,-0.641,-1.278,-1.028
