SUSA,SUSB,SUSC
-0.77,0.091,-1.028
0.223,-0.167,-0.552
0.981,1.489,0.88
0.298,0.388,0.88
-0.051,-0.177,-0.552
-0.036,-0.445,-0.552
1.167,1.489,-0.076
0.327,0.656,-0.552
0.014,-0.152,-0.204
0.773,0.379,-0.552
-0.646,0.934,-0.601
-0.85,-1.556,-0.076
1.172,0.979,0.88
1.528,1.489,0.88
-0.463,-0.445,-0.552
1.301,1.221,-0.076
-0.146,-1.01,0.88
0.436,-0.445,0.88
0.436,0.656,0.88
0.231,-0.177,0.88
-0.506,-0.733,-0.552
0.586,-0.177,-0.552
0.167,0.953,-1.984
0.436,0.656,-0.552
0.058,-0.177,-0.076
0.749,1.489,0.88
-2.135,-1.556,-0.552
0.436,-0.177,-0.552
0.436,0.656,-0.552
-1.078,-1.01,-0.552
-0.641,-0.177,0.88
0.303,-0.445,-1.077
-0.641,-0.713,0.88
-0.162,-0.177,-0.098
0.586,-0.177,0.88
-0.719,-1.288,0.88
-0.657,-1.01,-0.552
-1.448,0.656,0.88
-0.657,-1.01,0.88
-1.79,-1.01,-1.984
-1.221,-0.733,-1.984
0.231,-0.177,0.88
1.528,-0.177,0.88
-0.842,-1.01,0.88
0.826,1.489,0.88
-0.022,0.685,-1.961
-1.312,-0.723,0.88
-0.192,-0.094,0.88
-2.3,-3.242,0.88
-0.356,-0.177,0.88
1.274,1.489,0.88
0.744,0.934,-0.552
0.586,-1.01,0.88
-0.641,-0.713,0.88
0.436,-0.177,-0.552
1.403,1.489,0.88
0.436,0.656,-0.552
-0.506,-1.01,0.88
0.175,1.489,-0.601
0.436,-0.445,-0.552
-1.217,0.378,0.427
-1.507,-1.01,-0.098
-0.555,0.656,0.404
-1.143,-1.844,0.88
-1.335,-0.177,-1.984
-0.592,0.656,0.88
0.711,0.388,-0.552
0.586,-0.177,0.88
-0.051,-0.733,-0.098
-1.755,-0.445,0.88
0.065,-0.723,-1.005
-0.766,0.388,-0.552
-1.096,-1.01,0.88
-0.067,0.369,0.88
0.132,-0.733,0.378
-0.993,-1.01,-0.098
-1.479,-1.844,-0.552
0.209,0.656,-0.552
-1.505,-1.844,0.88
0.314,-0.177,0.88
1.378,0.924,0.378
0.436,-0.177,-0.098
-0.029,-0.177,-0.098
-0.334,-0.733,-0.076
-0.154,-0.177,-0.098
-1.143,-1.844,-1.53
-1.143,-1.844,-0.552
-0.356,0.656,0.88
0.436,0.656,-0.552
0.579,-0.445,-1.005
0.456,-0.177,0.88
-0.993,-1.01,-0.552
-1.015,-1.01,-0.552
0.357,1.489,0.88
0.436,-0.177,0.88
-0.225,0.11,-0.552
-1.355,-0.167,-1.984
1.528,0.656,-0.552
-1.143,-1.844,-0.552
0.888,0.378,0.404
-0.632,-1.01,-0.552
-1.378,-1.566,-1.005
-1.886,-1.01,-0.098
-2.484,-2.677,-1.984
0.087,0.101,0.88
0.194,0.461,0
0.586,1.489,0.88
0.436,0.656,0.88
0.436,0.924,0.88
1.528,1.489,0.88
0.436,0.369,0.88
0.334,-0.177,0.88
1.528,0.388,0.88
0.436,-0.177,-0.552
0.234,-0.723,-1.53
0.234,-0.723,-1.53
0.31,-1.01,-0.552
0.181,0.091,-0.098
0.336,-0.177,0.88
0.051,-0.733,-0.098
-0.565,-0.445,-0.552
-0.575,-0.445,0.88
-0.075,-1.01,0.88
0.31,-0.177,0.404
-0.176,-1.01,-1.53
0.185,-1.01,-1.53
-0.657,-0.177,-0.552
-3.118,-1.278,-0.552
-0.028,-0.177,0.88
-0.641,-1.278,-1.028
-0.047,-1.001,-2.033
-0.78,-0.733,-0.552
-0.993,-1.01,-0.552
0.436,-0.177,-0.098
0.929,0.656,0.88
1.528,-0.177,0.88
-0.993,-0.733,-0.552
-0.436,-1.844,-1.53
0.436,-0.177,-1.984
-0.688,-1.844,-0.552
-0.045,-1.01,-1.984
-0.073,-1.844,-0.552
0.436,-0.445,0.88
-0.055,-0.445,-0.552
-0.387,-0.733,-0.552
-1.124,-1.844,-1.984
-2.39,-1.01,-1.984
-0.047,-0.177,0.88
0.944,1.221,0.88
-0.055,-0.177,0.88
0.436,0.656,0.88
-0.284,-0.177,-0.552
0.436,-0.177,-0.049
-1.143,-2.677,-0.552
0.054,-0.177,-0.552
-0.055,-1.01,0.88
-0.344,0.388,-0.098
0.078,-1.01,-2.006
0.004,-0.455,-0.098
-0.075,-0.733,-0.552
0.436,-0.733,-0.552
0.436,-0.464,-1.028
-0.92,-0.723,0.404
0.076,-0.177,0.88
-0.506,-1.01,-0.552
-0.336,-0.445,-0.552
0.181,-1.01,0.88
-0.506,-0.177,-0.552
0.586,-1.01,0.88
-0.891,-1.01,-1.984
-1.63,-2.677,-0.552
0.436,0.101,0.88
0.076,-0.177,0.88
-1.632,-1.844,-3.416
1.074,0.944,0.88
-2.842,-1.844,-4.848
-1.911,-1.566,-0.552
-0.657,0.091,-0.552
-0.098,-0.177,-0.552
0.189,0.11,-1.028
-0.225,-0.723,-0.552
1.378,0.656,0.88
-0.924,-0.177,-0.076
-0.506,0.091,0.88
-0.506,-0.445,-0.552
1.399,1.489,0.88
-0.136,0.126,0.88
0.599,1.489,0.404
0.298,-0.177,0.88
1.528,1.489,0.88
1.104,1.489,0.88
1.399,0.398,0.88
1.528,1.489,0.88
1.528,1.489,0.404
-0.012,0.915,0.88
-1.87,1.489,0.88
0.365,0.101,-0.552
1.399,1.489,0.88
-0.027,1.489,0.88
0.708,1.489,0.88
0.182,0.656,-0.098
0.792,1.489,-0.027
0.215,0.12,0.404
-0.138,0.953,0.88
-2.483,-0.187,0.88
-0.418,0.091,-1.054
-0.625,0.369,-0.552
1.151,0.656,-0.552
0.785,0.637,0.88
0.683,1.489,0.88
-3.318,-1.576,-4.848
0.186,-0.206,0.404
0.412,1.489,0.88
-2.149,-0.187,0.88
-3.23,-0.733,0.88
1.399,1.202,0.88
0.935,0.091,0.88
1.378,0.101,-0.552
0.55,0.656,-0.049
1.528,1.489,0.88
0.168,1.489,0.88
-1.138,1.489,0.404
0.316,-0.177,0.88
1.528,1.202,-1.481
-0.356,1.489,-0.552
1.276,0.637,0.378
0.989,1.489,0.88
0.758,1.489,0.88
0.22,-0.733,0.88
0.662,0.934,0.88
1.427,0.656,0.88
0.436,0.656,-0.552
1.093,0.378,-0.098
0.784,0.369,0.88
-0.036,-0.177,-0.552
0.092,1.489,-1.984
1.356,1.489,0.88
-0.349,-0.196,-0.098
-0.031,-1.01,-1.504
1.528,-0.158,0.88
1.399,1.489,-0.552
1.528,1.489,0.88
0,0.101,0.88
0.942,0.081,0.404
0.806,1.489,0.88
1.269,0.666,0.88
-0.786,0.369,-0.552
-0.301,0.656,0.88
1.528,0.407,0.88
1.528,1.489,0.88
-2.775,-0.464,0.88
-1.31,-0.733,0.88
1.528,1.489,0.88
-0.715,0.378,-0.098
-0.486,0.11,-0.552
-0.215,1.489,-0.552
1.528,1.489,0.88
0.287,0.101,-1.028
-0.281,0.953,0.88
1.528,1.489,0.88
0.586,0.656,-0.076
0.793,1.489,0.88
1.528,1.489,0.88
1.223,1.489,0.88
-1.122,-1.01,-1.508
1.528,1.489,0.88
0.229,-0.177,-1.912
1.271,1.489,0.88
