EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
6,5,5,7,6,7,5,5,5,4,2,5,7,4,4,4,7,6,6,5,6,6,6,5,6,6,7,5,5,7,5,5,6,6,5,4,6,5,5,5,2,6,7,5,5,6,5,6,6,-0.77,0.091,-1.028,Ocio
6,6,6,6,6,5,6,6,5,4,2,5,2,2,2,2,6,6,6,6,6,6,6,5,6,4,5,5,5,4,5,5,4,5,6,6,5,5,7,6,6,6,7,6,5,4,6,6,6,0.223,-0.167,-0.552,Ocio
7,7,6,6,7,7,7,5.212121212121212,7,4.026415094339622,6,6,4,4,4,4,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,4,4,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,0.981,1.489,0.88,Ocio
6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,6,6,5,5,6,6,7,6,6,6,7,6,6,5,7,7,7,0.298,0.388,0.88,Ocio
7,6,6,6,6,7,7,5,5,3,5,6,5,5,5,5,7,7,6,6,5,5,5,5,5,4,5,5,4,5,6,5,5,5,5,5,6,6,6,5,5,6,7,5,5,5,6,6,6,-0.051,-0.177,-0.552,Ocio
6,7,5,6,7,6,6,6,5,4,5,6,3,3,3,3,6,6,6,5,5,6,4,5,5,4,5,5,5,6,5,4,4,4,5,5,5,5,7,6,6,6,7,5,5,4,6,6,6,-0.036,-0.445,-0.552,Ocio
6,5,4,6,7,6,7,6,5,4,6,5,6,6,6,6,7,6,6,5,5,6,6,7,5.8830188679245285,5,6,5,5,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,6,6,1.167,1.489,-0.076,Negocio
6,6,6,7,6,6,7,6,1,1,5,5,2,2,2,2,7,7,1,1,6,7,7,7,7,7,7,7,7,7,5,5,4,6,5,5,6,6,6,6,6,7,7,6,6,6,6,6,6,0.327,0.656,-0.552,Ocio
5,5,5,4,5,5,6,6,6,4,6,6,5,5,4,5,6,7,7,7,7,6,6,7,6,5,5,7,5,5,6,5,5,5,5,5,6,5,6,6,6,6,6,5,5,5.095057034220532,6.345864661654136,6,6.364661654135339,0.014,-0.152,-0.204,Negocio
6,6,6,6,6,6,6,6,5,5,6,5,4,4,4,4,6,7,6,6,5,6,6,5,6,4,5,5,5,4,6,5,5,6,6,6,6,5,7,7,7,7,7,7,5,5,6,6,6,0.773,0.379,-0.552,Negocio
