"CUESTIONARIO","TRUST1","TRUST2","TRUST3","COMMIT1","COMMIT2","COMMIT3","COMMIT4","VCC1","VCC2","VCC3","VCC4","VCC5","VCC6","ECOSAT1","ECOSAT2","ECOSAT3","SOCSAT1","SOCSAT2","SOCSAT3"
1,6,6,6,6,6,6,6,4,4,6,4,7,7,6,5,5,7,6,7
2,7,6,7,7,7,7,6,3,6,5,5,5,6,6,6,6,6,6,5
3,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7
4,5,6,6,6,6,6,6,7,7,5,5,6,6,6,6,6,6,6,6
5,7,7,7,6,6,7,7,5,6,5,3,5,6,7,6,6,6,6,7
6,6,6,6,6,6,7,7,6,6,5,5,6,6,6,7,5,6,7,6
7,6,6,6,6,6,6,6,4,6,5,7,7,,6,5,4,6,7,6
8,7,7,7,6,6,6,6,1,6,6,1,7,7,6,6,6,7,6,6
9,7,6,6,7,5,5,5,6,6,6,6,6,6,5,5,5,4,5,5
10,6,5,6,6,6,6,5,5,6,5,5,6,5,6,6,6,6,6,6
11,6,6,6,6,5,6,6,1,6,1,1,7,6,7,6,3,3,7,7
12,5,5,5,6,6,6,6,4,4,5,2,5,5,6,6,6,6,6,6
13,4,4,4,4,4,7,6,4,4,7,7,7,7,6,,7,,7,6
14,7,7,7,7,7,7,7,7,7,7,5,7,7,4,4,4,4,4,4
15,7,6,7,7,7,7,7,4,5,5,5,6,6,6,6,6,6,6,7
16,7,7,6,7,7,7,7,2,6,6,6,6,6,6,6,7,7,6,6
17,5,5,5,2,2,5,3,1,1,1,1,3,3,7,7,3,7,7,7
18,6,6,6,6,6,6,6,5,5,6,4,6,5,6,5,5,5,5,6
19,5,5,5,5,5,7,6,5,5,4,4,6,5,6,6,6,6,6,6
20,7,7,7,7,7,7,7,6,6,6,4,6,6,7,7,7,7,7,7
21,7,5,7,6,6,6,7,2,5,5,4,6,6,5,5,6,7,6,6
22,7,7,7,7,7,7,7,5,7,6,2,5,6,7,6,6,6,6,6
23,7,7,7,7,7,7,7,7,7,7,,7,,6,6,7,6,7,7
24,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,6,6,6,6,6,6,6,5,6,6,6,5,5,4,6,4,6,6,6
26,7,7,7,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7
27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
28,6,6,6,6,6,7,7,4,5,6,4,5,6,5,6,6,6,6,6
29,5,4,4,4,4,6,5,3,3,3,3,5,5,6,6,6,6,6,6
30,6,6,6,6,6,6,6,4,5,6,3,5,6,6,6,6,6,6,6
31,5,7,7,7,7,7,7,1,1,1,2,3,5,7,6,4,4,6,6
32,7,7,7,7,7,7,7,5,5,6,3,5,6,6,6,6,6,6,6
33,6,6,6,7,7,7,7,1,1,1,2,2,5,7,6,4,3,3,3
34,6,6,6,6,6,6,6,5,6,6,4,5,5,6,6,7,7,6,6
35,6,5,6,5,4,6,6,2,4,5,3,5,6,6,6,7,7,6,5
36,6,6,6,7,7,7,7,1,1,1,2,2,4,6,6,4,5,5,5
37,6,6,6,6,6,7,7,3,4,5,2,5,5,5,5,5,5,5,5
38,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
39,6,6,6,6,6,7,7,3,5,5,3,5,6,6,6,6,6,6,6
40,6,4,6,5,4,5,6,3,4,6,4,5,6,6,6,5,5,5,5
41,6,5,5,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6
42,7,7,7,7,7,7,7,2,4,5,2,4,6,6,6,6,6,6,7
43,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5
44,5,5,5,6,6,6,6,2,3,5,2,4,5,4,4,4,4,4,4
45,7,7,6,7,6,7,7,7,,7,7,7,7,7,7,7,7,7,7
46,7,5,6,7,6,7,7,1,3,3,1,4,6,7,7,5,7,5,7
47,6,6,6,7,7,7,7,2,4,5,2,5,6,7,7,7,7,7,7
48,3,6,5,1,1,7,4,1,1,4,4,7,7,2,4,2,,5,4
49,7,6,6,5,5,7,7,7,7,5,5,5,5,6,5,6,3,7,7
50,6,5,6,6,6,7,7,5,5,6,4,5,6,6,6,6,6,6,6
51,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
52,6,6,6,7,7,7,7,7,5,5,6,5,6,7,6,6,4,5,5
53,6,5,6,6,6,6,6,3,3,5,2,5,5,5,5,5,5,5,5
54,6,7,7,7,7,7,7,1,1,1,1,2,4,7,6,4,3,6,6
55,6,6,6,6,6,6,6,4,5,6,4,5,6,6,6,6,6,6,6
56,7,7,7,6,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7
57,6,6,6,6,5,6,6,2,2,4,2,6,6,5,6,5,5,5,5
58,6,6,6,6,6,6,7,2,3,5,2,4,5,6,6,6,6,6,7
59,7,5,7,7,6,7,7,7,7,7,7,4,7,7,6,7,7,7,7
60,6,6,6,5,5,5,5,6,6,6,5,5,5,4,4,5,5,5,5
61,6,7,6,7,7,7,7,6,6,5,5,4,4,,4,6,4,4,4
62,6,5,6,4,4,5,5,2,4,5,3,5,5,4,4,4,3,3,3
63,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3
64,6,5,6,6,6,6,7,5,5,6,3,5,5,5,5,5,5,5,5
65,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,6,5,5
66,6,6,6,6,6,6,7,2,4,5,2,5,6,6,6,6,6,6,6
