"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"comp_1  ->  COMP",0.536126654176766,0.537625625535081,0.043301472477382,12.3812568835114,0.465837270308648,0.639951762333613
"comp_2  ->  COMP",0.34038658727295,0.340770557314791,0.030234987227185,11.2580364170586,0.279401923035424,0.397428484647941
"comp_3  ->  COMP",0.328226602123469,0.326375729951283,0.0318868129854454,10.2934903614634,0.263852352121861,0.383665551272908
"like_1  ->  LIKE",0.418423277867762,0.420023586883033,0.0198569903105734,21.0718377419443,0.380259880845868,0.460819334330741
"like_2  ->  LIKE",0.377857887267651,0.377279800064599,0.0176679574034211,21.3866197795159,0.343313424113535,0.414185365074639
"like_3  ->  LIKE",0.359702860824559,0.359186947452358,0.0198859546548227,18.0882872896084,0.321082178870813,0.398341770176687
"cusa  ->  CUSA",1,1,1.05143272637269e-16,NA,1,1
"cusl_1  ->  CUSL",0.368666506717448,0.368879415946694,0.015721640198559,23.4496211630157,0.337505648270662,0.401012412593483
"cusl_2  ->  CUSL",0.420211287549889,0.42054998984374,0.0144982465054615,28.9835938016087,0.395239303722132,0.452236450930336
"cusl_3  ->  CUSL",0.364887372549333,0.365083046569991,0.0149664674840059,24.3803270838142,0.33491427972716,0.392609429112709
