"CUESTIONARIO","CCAA","TIPO","TIPOINT","DCP1","DCP2","DCP3","DCP4","CFZP05","CFZP06","CFZP07","CFZP08","CFZP09","CFZP10","CFZP11","CMPP12","CMPP13","CMPP14","CMPP15","CMPP16","BENCOP17","BENCOP18","BENCOP19","BENCOP20","BENCOP21","BENCOP22","BENSOP23","BENSOP24","BENSOP25","BENSOP26","BENSOP27","BENTEP28","BENTEP29","BENTEP30","BENTEP31","BENTEP32","SACRELP33","SACRELP34","SACRELP35","SACCOSP36","SACCOSP37","SACCOSP38","VALRELP39","VALRELP40","VALRELP41","VALRELP42","SATP43","SATP44","SATP45","SATP46","SATP47","SATP48","LOYP49","LOYP50","LOYP51","REQP52","REQP53","REQP54","REQP55","REQP56","REQP57","REAP58","REAP59","REAP60","REAP61","RSQP62","RSQP63","RSQP64","RSQP65","RLP66","RLP67","RLP68","RLP69","RLP70","RLP71","RLP72","RLP73","REGP74","REGP75","REGP76","REGP77","TICP78","TICP79","TICP80","TICP81","TICP82","TICP83","TICP84","TICP85","TICP86","ITTICP87","ITTICP88","ITTICP89","ITTICP90","ITTICP91","ITTICP92","ITTICP93","ITTICP94","ITTICP95","ITTICP96","ITTICP97","ITTICP98","ITTICP99","ITTICP100","ITTICP101","ITTICP102","ITTICP103","ITTICP104","ITTICP105","INRELP106","INRELP107","INRELP108","INRELP109","INRELP110","INRELP111","CAPRELP112","CAPRELP113","CAPRELP114","CAPRELP115","CAPRELP116","CAPRELP117","CAPRELP118","CAPRELP119","CAPRELP120","CAPRELP121","EMPRESA","DIRECCION","CP","TEL","MUNICIPIO","PROVINCIA","ENTREVISTADO","PROVEEDOR","VENTAS2013","INVERSTIC2013","lon","lat"
1,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,20,60,3,6,6,6,5,6,7,6,6,6,6,6,6,6,6,7,6,6,7,6,6,Neutral,Neutral,Neutral,1,1,1,1,1,6,6,6,6,5,6,5,5,5,6,5,5,6,6,7,7,7,7,7,1,1,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Neutral,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,6,6,6,Neutral,"AUTOSERVICIO J. CORBALÁN","ALBORAIA, 56",46010,"963 60 68 23","VALÈNCIA","VALÈNCIA","AMPARO - PROPIETARIA","COMERCO -VALÈNCIA",NA,NA,-0.3686399,39.4854388
2,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,20,50,6,6,6,6,5,6,6,5,1,6,6,5,1,6,6,6,6,6,6,5,6,5,7,1,7,Neutral,Neutral,Neutral,Neutral,5,6,5,6,6,1,2,2,5,5,6,6,6,7,7,6,6,6,6,1,1,Neutral,1,1,Neutral,1,2,2,2,2,2,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,1,7,7,7,1,"AUTOSERVICIO REINA, C. B.","REINA, 220",46011,"963 71 09 13","VALÈNCIA","VALÈNCIA","VICENTA PICAZO - PROPIETARIA","DIALSUR, S.L. - XIRIVELLA",NA,NA,-0.3279758,39.4720814
3,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,15,45,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,5,6,6,5,5,Neutral,6,3,3,3,3,3,Neutral,6,6,6,5,6,6,3,3,3,3,5,5,Neutral,7,6,6,7,7,7,3,3,Neutral,3,5,Neutral,Neutral,3,Neutral,3,5,Neutral,5,Neutral,Neutral,4.625,Neutral,5,Neutral,5,5,5,5,5,5,5,3,3,2,3,3,3,3,1,Neutral,1,1,1,1,1,1,1,1,1,4.39,3,1,1,5,6,1.355,1,1,1,3,2,2,2,3,3,7,7,7,6,7,3,Neutral,3,5,6,"CARMINA FERNÁNDEZ, S. L.","EMILIO BARÓ, 44",46020,"963 61 18 86","VALÈNCIA","VALÈNCIA","CARMEN - ENCARGADA","POLLOS DOLZ - ALGEMESÍ",135000,500,-0.3609711,39.4871363
4,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,33,99,9,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,Neutral,3,1,6,6,6,6,6,2,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Neutral,5,Neutral,6,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,1,1,Neutral,3,3,7,7,7,7,7,7,6,6,7,Neutral,"CONGELADOS ANVI","PL. S. FELIPE NERI,",46001,"963 60 33 39","VALÈNCIA","VALÈNCIA","VICENTE COLA - PROPIETARIO","MERCAVALÈNCIA - VALÈNCIA",NA,NA,-0.3724982,39.4741014
5,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,15,40,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Neutral,7,7,5,5,5,6,3,3,3,3,3,3,5,6,5.404,6,2,6,1,1,1,1,5,6,5,7,5,6,6,6,7,5,5,Neutral,5,Neutral,Neutral,5,Neutral,5,5,5,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,1,2,2,5,5,"EUROFRUTAS","RODRIGO PERTEGÁS, 7",46013,"963 20 44 37","VALÈNCIA","VALÈNCIA","AMPARO - PROPIETARIA","MERCAVALÈNCIA - VALÈNCIA",130000,NA,-0.3450821,39.4621313
6,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,12,Proveedor exclusivo,0,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,5,Neutral,7,2,5,Neutral,Neutral,Neutral,Neutral,5,6,6,6,6,6,7,7,7,7,6,7,6,6,7,6,7,7,7,5,6,6,5,Neutral,Neutral,Neutral,Neutral,5,6,5,5,6,6,5,5,5,5,5,5,6,6,6,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,1,1,1,6,6,"FRUTAS Y VERDURAS RACÓ DE L'HORT","DURÁN I TORTAJADA, 20",46022,"&","VALÈNCIA","VALÈNCIA","ANTONIA - PROPIETARIA","MERCAVALÈNCIA - VALÈNCIA",90000,NA,-0.343378,39.471344
7,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,23,25,20,7,6,6,5,6,7,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,Neutral,3,3,3,3,3,6,6,6,6,Neutral,6,6,6,6,5,3,6,6,6,6,6,6,6,6,3,6,6,5,6,6,3,3,3,3,Neutral,Neutral,Neutral,6,6,6,6,5,6,6,6,Neutral,5,Neutral,5,5,1,1,1,1,1,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,6,6,6,6,6,6,1,"FRUTERIA PILARÍN","PL. GONZALO PERIS, 5",46022,"655 28 57 46","VALÈNCIA","VALÈNCIA","JOSÉ MIGUEL ARROYO - PROPIETARIO","FRUTAS-VERDURAS SIBARITA - MERCAVALÈNCIA",NA,NA,-0.3393393,39.4686512
8,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,18,40,40,7,7,6,6,7,6,7,1,6,6,5,1,5,6,6,6,6,5,6,6,6,7,2,1,1,1,1,3,5,5,5,Neutral,Neutral,5,Neutral,3,Neutral,1,Neutral,Neutral,6,7,7,6,6,6,7,2,2,2,2,2,2,5,5,5,Neutral,5,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,6,6,6,5,7,6,6,7,1,"HERBODIET V. RIPOLL","VISITACIÓN, 10",46009,"963 48 72 11","VALÈNCIA","VALÈNCIA","VICENTE RIPOLL - PROPIETARIO","DISTRIBUCIONES PILAR ANTOLÍ - VALÈNCIA",2e+05,NA,-0.3769872,39.4835886
9,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,7,50,3,5,6,6,5,6,6,6,1,6,6,5,1,6,6,6,6,6,5,6,6,6,6,Neutral,1,1,1,1,1,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,2,5,2,2,5,2,2,2,2,2,2,2,2,2,Neutral,Neutral,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,6,6,6,6,6,6,1,"HORNO ROYAL","ALBORAIA, 66",46010,"963 38 96 14","VALÈNCIA","VALÈNCIA","RUBÉN CALAHORRANO - PROPIETARIO","CASH & CARRY - MERCAVALÈNCIA",NA,NA,-0.3682043,39.4861859
10,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,30,80,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,5,5,7,7,5,5,7,7,1,7,7,7,5,7,7,1,1,7,7,1,7,7,7,1,7,1,7,7,5,6,5,5,6,7,7,7,7,7,5,7,7,7,5,"JAMONES JUAN GARGALLO, S. L.","AV PÉREZ GALDÓS, 98",46008,"963 84 12 62","VALÈNCIA","VALÈNCIA","RAÚL GARGALLO - COORDINADOR","DINIVA - PATERNA",NA,NA,-0.3923107,39.4707002
