"CUESTIONARIO","lon","lat"
1,-0.3686399,39.4854388
2,-0.3279758,39.4720814
3,-0.3609711,39.4871363
4,-0.3724982,39.4741014
5,-0.3450821,39.4621313
6,-0.343378,39.471344
7,-0.3393393,39.4686512
8,-0.3769872,39.4835886
9,-0.3682043,39.4861859
10,-0.3923107,39.4707002
11,-0.3871792,39.4620435
12,-0.3644276,39.4667466
13,-0.3861291,39.4610148
14,-0.3276941,39.4836387
15,-0.1525434,38.96898
16,-0.4155464,39.5067714
17,-0.4198717,39.5082436
18,-0.1807035,38.9785582
19,-0.5396928,39.0152057
20,-0.5461268,39.5987597
21,-0.5503432,39.5928817
22,NA,NA
23,-0.4366718,39.4800048
24,-0.3937324,39.4265581
25,-0.3846382,39.427224
26,0.0071009,39.9733013
27,0.2256261,40.3332135
28,-0.2144463,40.075386
29,-0.487379,39.8532201
30,-0.1049735,39.9442108
31,-0.4848009,38.3445314
32,-0.4860974,38.3481059
33,-0.6839758,38.274814
34,-0.6839758,38.274814
35,-0.2285807,38.5079606
36,0.1991014,38.7609138
37,-0.6012132,38.8221682
38,-0.4887059,39.4716041
39,-0.3451416,39.4712903
40,-0.3450624,39.4708392
41,-0.3714787,39.4687314
42,-0.3712142,39.4702127
43,-0.3695576,39.4690153
44,-0.3769963,39.4728946
45,-0.3949694,39.4850512
46,-0.3792147,39.4723617
47,-0.3616486,39.4611323
48,-0.3739844,39.4687386
49,-0.3715944,39.4699069
50,-0.4150585,39.5276136
51,-0.379346,39.4683927
52,-0.345862,39.4566515
53,-0.3707684,39.4705056
54,-0.3454161,39.4713697
55,-0.4463177,39.3579331
56,-0.0359859,39.9900225
57,-0.2335175,39.8243552
58,-0.2293063,39.8228846
59,-0.0999177,39.9378201
60,-0.0948638,39.9431719
61,-0.0992108,39.9384043
62,-0.4871573,38.3592274
63,-0.4915057,38.3448213
64,-0.0677681,38.5882594
65,0.104443,38.836264
66,0.1079572,38.8384503
67,0.1092375,38.8409423
